DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130131,415.6000003815,1598.165000916,84.59999978536,354.8350000381,16.6,62.600000381500000,46.47500038147,1943.4650173144,42.10000021458000,53.125,7137.0,251.63400053,9022.0,37140.0,1441.0,4620.0,13406.0,1.0,60.0,,,,,,,,,,,4.0,270.0,72.0,1704.0,435.0,1.0,55.0,11715.0,21678.0,9963.0,73.0,
20130201,265.0,1296.1050009155,136.47999959469,242.83500003815000,31.82,52.46000038147,11.502,1704.2250161744,56.859999833110000,35.739,5010.0,179.295999298,6495.0,33780.0,3148.0,4320.0,9563.0,0.0,0.0,,,,,,,,,,,1.0,50.0,46.0,2818.0,445.0,2.0,20.0,18561.0,22970.0,4409.0,89.0,
20130202,282.0,1486.5,113.2650001717,297.5,21.0000000477,132.5300025237,11.93449979783,3586.0,58.5149999762,26.7390000506,5967.0,244.805999689,6618.0,38580.0,1482.0,8640.0,9545.0,2.0,1800.0,,,,,,,,,,,1.0,70.0,262.0,416.0,651.0,0.0,256.0,16380.0,23374.0,6994.0,80.0,
20130203,173.0,1352.0,135.99999999996000,73.0,18.19999999998,52.50000000046000,38.999999999997,437.5,55.69999999996,13.999999999980000,10406.0,507.767000692,6171.0,33780.0,855.0,10680.0,9317.0,1.0,6300.0,,,,,,,,,,,2.0,120.0,162.0,3831.0,541.0,1.0,111.0,13860.0,22246.0,8386.0,76.0,
20130204,441.0,1959.6000022888000,134.79999995231,370.5,24.600000023842,70.60000005364,43.200000047682000,2081.5000002383800,64.49999995530000,72.90000009536,15256.0,725.201000671,9916.0,39000.0,1259.0,4440.0,14664.0,2.0,8100.0,,,,,,,,,,,3.0,180.0,102.0,2991.0,388.0,0.0,53.0,10852.0,17452.0,6600.0,63.0,
20130205,609.0,1622.2000007629,100.59999990463,51.5,22.009999990462,72.19000005721700,32.700000166892000,1685.29000043866,33.789999961857,40.31000018119,14091.0,680.734000293,8968.0,35040.0,638.0,4140.0,13351.0,1.0,8100.0,,,,,,,,,,,4.0,260.0,97.0,1225.0,451.0,1.0,86.0,15060.0,20909.0,5849.0,79.0,
20130206,107.8999977112,1462.899993896,89.59999970194000,755.0,22.20999991894,59.889999794967,41.70000004764,1683.68999910356,30.789999437337,37.61000041961,6509.0,233.674999537,8405.0,32820.0,1188.0,2460.0,12393.0,0.0,0.0,,,,,,,,,,,1.0,50.0,108.0,2121.0,227.0,1.0,97.0,1980.0,6277.0,4297.0,18.0,
20130207,88.0,1186.80000782013,102.899999856931,284.5,20.470000064369,41.830000072714,27.20000007748,1024.73000016808,55.029999864094,21.770000159743,7501.0,270.59200005,9726.0,35100.0,950.0,3480.0,14315.0,0.0,0.0,,,,,,,,,,,2.0,120.0,36.0,699.0,430.0,0.0,25.0,13174.0,23674.0,10500.0,82.0,
20130208,325.0,1661.399993896,144.80500072249,485.5,25.290000104906,69.24700021744,42.64440011978,2576.6000041965,58.16199977398000,25.649200916270000,3398.0,117.326000093,4316.0,40560.0,704.0,7140.0,6409.0,0.0,0.0,,,,,,,,,,,2.0,120.0,43.0,681.0,447.0,0.0,32.0,15803.0,24383.0,8580.0,88.0,
20130209,325.0,1314.699998856,103.41999983068000,118.5,30.28000005484,59.72000011921,35.53799985098,1665.9999980930000,34.37999988556,16.545999818800000,3622.0,131.880999625,4773.0,43020.0,2860.0,6240.0,6980.0,0.0,0.0,1136.0,537.0,1227.0,1.0,1132.0,1140.0,5193.0,4053.0,11.0,,1.0,70.0,118.0,429.0,627.0,0.0,112.0,19080.0,30671.0,11591.0,100.0,
